"OBJECTID","ZIP","CONFIRMED","RECOVERED","Shape__Area","Shape__Length","Date"
7,13210,792,534,121905640.670776,57335.7651082135,2020-11-17
12,13208,516,460,68307159.7624512,48130.7427291604,2020-11-17
4,13205,453,402,86419018.9277344,55929.5836657691,2020-11-17
9,13203,484,391,47834286.2580566,35256.502661724,2020-11-17
10,13204,381,314,138470966.714478,58264.9609811198,2020-11-17
3,13207,267,229,81889567.5168457,64412.8619051985,2020-11-17
11,13206,218,183,54675608.9171753,36964.9795369121,2020-11-17
5,13202,143,119,29913051.0748291,27251.3483985363,2020-11-17
8,13224,109,94,51407562.5394897,39761.1292276494,2020-11-17
13,13214,74,61,14781597.3684692,26803.5491393636,2020-11-17
2,13215,3,3,4926249.24188232,14693.0688167955,2020-11-17
6,13219,2,2,4748296.46783447,20860.7879686878,2020-11-17
1,13120,0,0,9650198.5168457,14274.2935279528,2020-11-17
7,13210,851,535,121905640.670776,57335.7651082135,2020-11-18
12,13208,521,462,68307159.7624512,48130.7427291604,2020-11-18
4,13205,472,403,86419018.9277344,55929.5836657691,2020-11-18
9,13203,491,391,47834286.2580566,35256.502661724,2020-11-18
10,13204,393,315,138470966.714478,58264.9609811198,2020-11-18
3,13207,270,229,81889567.5168457,64412.8619051985,2020-11-18
11,13206,225,184,54675608.9171753,36964.9795369121,2020-11-18
5,13202,145,119,29913051.0748291,27251.3483985363,2020-11-18
8,13224,112,94,51407562.5394897,39761.1292276494,2020-11-18
13,13214,77,61,14781597.3684692,26803.5491393636,2020-11-18
2,13215,3,3,4926249.24188232,14693.0688167955,2020-11-18
6,13219,2,2,4748296.46783447,20860.7879686878,2020-11-18
1,13120,0,0,9650198.5168457,14274.2935279528,2020-11-18
7,13210,885,536,121905640.670776,57335.7651082135,2020-11-19
12,13208,527,463,68307159.7624512,48130.7427291604,2020-11-19
4,13205,480,403,86419018.9277344,55929.5836657691,2020-11-19
9,13203,495,391,47834286.2580566,35256.502661724,2020-11-19
10,13204,401,315,138470966.714478,58264.9609811198,2020-11-19
3,13207,275,229,81889567.5168457,64412.8619051985,2020-11-19
11,13206,231,184,54675608.9171753,36964.9795369121,2020-11-19
5,13202,150,119,29913051.0748291,27251.3483985363,2020-11-19
8,13224,113,94,51407562.5394897,39761.1292276494,2020-11-19
13,13214,77,61,14781597.3684692,26803.5491393636,2020-11-19
2,13215,3,3,4926249.24188232,14693.0688167955,2020-11-19
6,13219,2,2,4748296.46783447,20860.7879686878,2020-11-19
1,13120,0,0,9650198.5168457,14274.2935279528,2020-11-19
