"OBJECTID","CONFIRMED","ACTIVE","RECOVERED","DEATHS","DATE","Shape__Area","Shape__Length","new_cases","new_deaths"
39,695,269,404,22,NA,22448726051.2511,785106.996974002,28,0
40,724,279,422,23,NA,22448726051.2511,785106.996974002,29,1
41,746,236,485,25,NA,22448726051.2511,785106.996974002,22,2
42,774,244,505,25,NA,22448726051.2511,785106.996974002,28,0
43,798,258,515,25,NA,22448726051.2511,785106.996974002,24,0
44,819,275,518,26,NA,22448726051.2511,785106.996974002,21,1
45,841,269,543,29,NA,22448726051.2511,785106.996974002,22,3
46,876,296,550,30,NA,22448726051.2511,785106.996974002,35,1
47,920,326,561,33,NA,22448726051.2511,785106.996974002,44,3
48,947,339,574,34,NA,22448726051.2511,785106.996974002,27,1
49,994,352,608,34,NA,22448726051.2511,785106.996974002,47,0
50,1047,401,610,36,NA,22448726051.2511,785106.996974002,53,2
51,1088,432,619,37,NA,22448726051.2511,785106.996974002,41,1
52,1115,452,623,40,NA,22448726051.2511,785106.996974002,27,3
53,1178,505,632,41,NA,22448726051.2511,785106.996974002,63,1
54,1234,532,661,41,NA,22448726051.2511,785106.996974002,56,0
55,1286,561,681,65,NA,22448726051.2511,785106.996974002,52,24
56,1329,588,694,69,NA,22448726051.2511,785106.996974002,43,4
57,1365,609,709,69,NA,22448726051.2511,785106.996974002,36,0
58,1394,587,737,75,NA,22448726051.2511,785106.996974002,29,6
59,1425,600,751,79,NA,22448726051.2511,785106.996974002,31,4
60,1488,647,764,82,NA,22448726051.2511,785106.996974002,63,3
61,1523,659,785,84,NA,22448726051.2511,785106.996974002,35,2
62,1543,662,796,90,NA,22448726051.2511,785106.996974002,20,6
63,1566,651,821,99,NA,22448726051.2511,785106.996974002,23,9
64,1597,672,828,102,NA,22448726051.2511,785106.996974002,31,3
65,1614,679,837,103,NA,22448726051.2511,785106.996974002,17,1
66,1649,707,852,105,NA,22448726051.2511,785106.996974002,35,2
67,1710,732,876,107,NA,22448726051.2511,785106.996974002,61,2
68,1752,746,903,108,NA,22448726051.2511,785106.996974002,42,1
69,1788,765,919,109,NA,22448726051.2511,785106.996974002,36,1
70,1836,736,990,115,NA,22448726051.2511,785106.996974002,48,6
71,1883,779,994,115,NA,22448726051.2511,785106.996974002,47,0
72,1945,835,994,121,NA,22448726051.2511,785106.996974002,62,6
73,1959,828,1013,123,NA,22448726051.2511,785106.996974002,14,2
74,1973,814,1037,127,NA,22448726051.2511,785106.996974002,14,4
75,1992,822,1045,130,NA,22448726051.2511,785106.996974002,19,3
76,2024,843,1055,131,NA,22448726051.2511,785106.996974002,32,1
77,2071,876,1065,135,NA,22448726051.2511,785106.996974002,47,4
78,2104,895,1077,137,NA,22448726051.2511,785106.996974002,33,2
79,2129,909,1086,139,NA,22448726051.2511,785106.996974002,25,2
80,2152,906,1110,141,NA,22448726051.2511,785106.996974002,23,2
81,2182,920,1123,144,NA,22448726051.2511,785106.996974002,30,3
82,2222,912,1166,149,NA,22448726051.2511,785106.996974002,40,5
83,2243,917,1180,151,NA,22448726051.2511,785106.996974002,21,2
84,2271,922,1203,151,NA,22448726051.2511,785106.996974002,28,0
85,2305,933,1223,154,NA,22448726051.2511,785106.996974002,34,3
86,2324,941,1232,156,NA,22448726051.2511,785106.996974002,19,2
87,2336,929,1252,160,NA,22448726051.2511,785106.996974002,12,4
88,2351,910,1285,161,NA,22448726051.2511,785106.996974002,15,1
89,2366,865,1342,164,NA,22448726051.2511,785106.996974002,15,3
90,2389,855,1373,166,NA,22448726051.2511,785106.996974002,23,2
91,2406,802,1440,169,NA,22448726051.2511,785106.996974002,17,3
92,2423,801,1454,173,NA,22448726051.2511,785106.996974002,17,4
93,2435,796,1471,173,NA,22448726051.2511,785106.996974002,12,0
94,2444,761,1514,174,NA,22448726051.2511,785106.996974002,9,1
95,2462,741,1549,177,NA,22448726051.2511,785106.996974002,18,3
96,2482,682,1627,178,NA,22448726051.2511,785106.996974002,20,1
97,2528,566,1789,178,NA,22448726051.2511,785106.996974002,46,0
98,2544,524,1847,178,NA,22448726051.2511,785106.996974002,16,0
99,2557,524,1858,180,NA,22448726051.2511,785106.996974002,13,2
