"OBJECTID","DATE","CONFIRMED","ACTIVE","RECOVERED","Shape__Area","Shape__Length","new_cases"
128,2020-08-28,1929,47,1769,714926133.740173,171664.844393866,10
129,2020-08-29,1932,49,1770,714926133.740173,171664.844393866,3
130,2020-08-30,1933,50,1770,714926133.740173,171664.844393866,1
131,2020-08-31,1938,50,1775,714926133.740173,171664.844393866,5
132,2020-09-01,1941,51,1777,714926133.740173,171664.844393866,3
133,2020-09-02,1945,53,1779,714926133.740173,171664.844393866,4
134,2020-09-03,1949,52,1784,714926133.740173,171664.844393866,4
135,2020-09-04,1951,47,1791,714926133.740173,171664.844393866,2
136,2020-09-05,1953,44,1796,714926133.740173,171664.844393866,2
137,2020-09-06,1958,49,1796,714926133.740173,171664.844393866,5
138,2020-09-07,1966,49,1804,714926133.740173,171664.844393866,8
139,2020-09-08,1967,50,1804,714926133.740173,171664.844393866,1
140,2020-09-09,1972,51,1808,714926133.740173,171664.844393866,5
141,2020-09-10,1974,53,1808,714926133.740173,171664.844393866,2
142,2020-09-11,1975,51,1811,714926133.740173,171664.844393866,1
143,2020-09-12,1979,49,1817,714926133.740173,171664.844393866,4
144,2020-09-13,1984,54,1817,714926133.740173,171664.844393866,5
145,2020-09-14,1986,39,1834,714926133.740173,171664.844393866,2
146,2020-09-15,1994,43,1838,714926133.740173,171664.844393866,8
147,2020-09-16,2002,48,1841,714926133.740173,171664.844393866,8
148,2020-09-17,2008,54,1841,714926133.740173,171664.844393866,6
149,2020-09-18,2019,64,1842,714926133.740173,171664.844393866,11
150,2020-09-19,2025,64,1848,714926133.740173,171664.844393866,6
151,2020-09-20,2032,71,1848,714926133.740173,171664.844393866,7
152,2020-09-21,2037,76,1848,714926133.740173,171664.844393866,5
153,2020-09-22,2039,63,1863,714926133.740173,171664.844393866,2
154,2020-09-23,2045,65,1867,714926133.740173,171664.844393866,6
155,2020-09-24,2050,66,1871,714926133.740173,171664.844393866,5
156,2020-09-25,2055,64,1878,714926133.740173,171664.844393866,5
157,2020-09-26,2061,68,1880,714926133.740173,171664.844393866,6
158,2020-09-27,2063,70,1880,714926133.740173,171664.844393866,2
159,2020-09-28,2067,65,1889,714926133.740173,171664.844393866,4
160,2020-09-29,2071,61,1897,714926133.740173,171664.844393866,4
161,2020-09-30,2079,64,1902,714926133.740173,171664.844393866,8
162,2020-10-01,2088,67,1908,714926133.740173,171664.844393866,9
163,2020-10-02,2101,66,1922,714926133.740173,171664.844393866,13
164,2020-10-03,2112,68,1931,714926133.740173,171664.844393866,11
165,2020-10-04,2117,73,1931,714926133.740173,171664.844393866,5
166,2020-10-05,2124,74,1937,714926133.740173,171664.844393866,7
167,2020-10-06,2131,78,1940,714926133.740173,171664.844393866,7
168,2020-10-07,2158,100,1945,714926133.740173,171664.844393866,27
169,2020-10-08,2177,115,1949,714926133.740173,171664.844393866,19
170,2020-10-09,2197,129,1955,714926133.740173,171664.844393866,20
171,2020-10-10,2223,142,1968,714926133.740173,171664.844393866,26
172,2020-10-11,2238,157,1968,714926133.740173,171664.844393866,15
173,2020-10-12,2245,161,1971,714926133.740173,171664.844393866,7
174,2020-10-13,2260,157,1990,714926133.740173,171664.844393866,15
175,2020-10-14,2285,180,1992,714926133.740173,171664.844393866,25
176,2020-10-15,2295,181,2001,714926133.740173,171664.844393866,10
177,2020-10-16,2310,163,2034,714926133.740173,171664.844393866,15
178,2020-10-17,2322,134,2075,714926133.740173,171664.844393866,12
179,2020-10-18,2337,149,2075,714926133.740173,171664.844393866,15
180,2020-10-19,2350,116,2121,714926133.740173,171664.844393866,13
181,2020-10-20,2356,111,2132,714926133.740173,171664.844393866,6
182,2020-10-21,2376,119,2144,714926133.740173,171664.844393866,20
183,2020-10-22,2395,128,2154,714926133.740173,171664.844393866,19
184,2020-10-23,2425,138,2173,714926133.740173,171664.844393866,30
185,2020-10-24,2441,137,2190,714926133.740173,171664.844393866,16
186,2020-10-25,2453,148,2190,714926133.740173,171664.844393866,12
187,2020-10-26,2461,128,2217,714926133.740173,171664.844393866,8
188,2020-10-27,2470,125,2229,714926133.740173,171664.844393866,9
189,2020-10-28,2484,126,2242,714926133.740173,171664.844393866,14
190,2020-10-29,2507,137,2254,714926133.740173,171664.844393866,23
191,2020-10-30,2545,157,2272,714926133.740173,171664.844393866,38
192,2020-10-31,2573,158,2299,714926133.740173,171664.844393866,28
193,2020-11-01,2598,183,2299,714926133.740173,171664.844393866,25
194,2020-11-02,2615,178,2321,714926133.740173,171664.844393866,17
195,2020-11-03,2627,166,2345,714926133.740173,171664.844393866,12
196,2020-11-04,2652,188,2348,714926133.740173,171664.844393866,25
197,2020-11-05,2696,213,2367,714926133.740173,171664.844393866,44
