"Test.Date","County","New.Positives","Cumulative.Number.of.Positives","Total.Number.of.Tests.Performed","Cumulative.Number.of.Tests.Performed","Percent.Change","Three.Day.Average","Three.Day.Change","Three.Day.Percentage","Last.28.Days","Last.14.Days","Last.7.Days","Last.7.Days.Mean","Positive.Per.100000","Percent.Positive","Total.Percent.Positive","Three.Day.Percent.Positive","Percent.Change.Tests","Three.Day.Average.Tests","Three.Day.Change.Tests","Three.Day.Percentage.Tests","Last.28.Days.Tests","Last.14.Days.Tests","Last.7.Days.Tests","Roll.Last.7.Days.Cases","Roll.Last.7.Days.Tests","Roll.Percent.Positive.7.days"
2020-06-09,"Onondaga",6,2433,2197,55612,0,2422.66666666667,58,2,1038,400,177,25.2857142857143,5.49059216501804,0.00273099681383705,0.043749550456736,0.00782293455447434,0,53812.6666666667,5241,10,38695,22671,12562,25.2857142857143,1794.57142857143,1.40901130393249
2020-06-10,"Onondaga",21,2454,1222,56834,1,2438,62,2,1031,400,159,22.7142857142857,4.93222686010095,0.0171849427168576,0.0431783791392476,0.0104001808727108,1,55287,4423,8,39234,23076,11595,22.7142857142857,1656.42857142857,1.37128072445019
2020-06-11,"Onondaga",20,2474,2072,58906,1,2453.66666666667,66,2,1034,382,145,20.7142857142857,4.49794273405433,0.00965250965250965,0.0419991172376328,0.00855946093607722,1,57117.3333333333,5491,10,40921,23417,12066,20.7142857142857,1723.71428571429,1.20172385214653
2020-06-12,"Onondaga",24,2498,1498,60404,1,2475.33333333333,71,3,1029,365,123,17.5714285714286,3.81549625026678,0.0160213618157543,0.0413548771604529,0.0135642737896494,1,58714.6666666667,4792,9,41331,22814,11378,17.5714285714286,1625.42857142857,1.08103357356302
2020-06-13,"Onondaga",21,2519,2756,63160,1,2497,86,3,1018,349,127,18.1428571428571,3.93957742913724,0.00761973875181422,0.0398828372387587,0.010275055327221,1,60823.3333333333,6326,11,43439,23741,12789,18.1428571428571,1827,0.993040894518727
2020-06-14,"Onondaga",12,2531,847,64007,0,2516,77,2,1011,334,123,17.5714285714286,3.81549625026678,0.0141676505312869,0.0395425500335901,0.0111742795530288,0,62523.6666666667,5101,9,43803,23514,11596,17.5714285714286,1656.57142857143,1.06071058985857
2020-06-15,"Onondaga",14,2545,1345,65352,1,2531.66666666667,71,2,880,317,118,16.8571428571429,3.66039477667869,0.0104089219330855,0.0389429550740605,0.00949878738884398,1,64173,4948,8,43570,23824,11937,16.8571428571429,1705.28571428571,0.988523079500712
2020-06-16,"Onondaga",13,2558,870,66222,1,2544.66666666667,60,2,840,302,125,17.8571428571429,3.87753683970201,0.0149425287356322,0.038627646401498,0.0127367733507511,1,65193.6666666667,3062,5,42596,23172,10610,17.8571428571429,1515.71428571429,1.17813383600377
2020-06-17,"Onondaga",57,2615,1440,67662,2,2572.66666666667,96,3,844,320,161,23,4.99426744953618,0.0395833333333333,0.0386479855753599,0.0229822161422709,2,66412,3655,6,42899,22423,10828,23,1546.85714285714,1.48688585149612
2020-06-18,"Onondaga",19,2634,1694,69356,1,2602.33333333333,103,3,806,305,160,22.8571428571429,4.96324715481857,0.0112160566706021,0.0379779687409885,0.0222277722277722,1,67746.6666666667,4004,6,43249,22516,10450,22.8571428571429,1492.85714285714,1.5311004784689
2020-06-19,"Onondaga",10,2644,1270,70626,0,2631,99,3,740,269,146,20.8571428571429,4.52896302877194,0.0078740157480315,0.0374366380653017,0.01952770208901,0,69214.6666666667,4404,7,42017,21600,10222,20.8571428571429,1460.28571428571,1.42829191938955
2020-06-20,"Onondaga",22,2666,2328,72954,1,2648,108,2,713,274,147,21,4.55998332348956,0.00945017182130584,0.036543575403679,0.00963718820861678,1,70978.6666666667,5292,8,42993,22583,9794,21,1399.14285714286,1.50091892995712
2020-06-21,"Onondaga",9,2675,954,73908,0,2661.66666666667,60,2,694,267,144,20.5714285714286,4.46692243933671,0.00943396226415094,0.0361936461546788,0.00900702987697715,0,72496,4552,7,42772,21497,9901,20.5714285714286,1414.42857142857,1.45439854560145
2020-06-22,"Onondaga",27,2702,1060,74968,1,2681,68,2,690,275,157,22.4285714285714,4.87018627066572,0.0254716981132075,0.0360420446056984,0.0133578995854445,1,73943.3333333333,4342,6,42703,21553,9616,22.4285714285714,1373.71428571429,1.63269550748752
2020-06-23,"Onondaga",32,2734,1234,76202,1,2703.66666666667,90,3,701,301,176,25.1428571428571,5.45957187030043,0.0259319286871961,0.0358783234035852,0.020935960591133,1,75026,3248,4,43261,20590,9980,25.1428571428571,1425.71428571429,1.76352705410822
2020-06-24,"Onondaga",17,2751,1183,77385,1,2729,85,3,697,297,136,19.4285714285714,4.21876008159578,0.0143702451394759,0.0355495251017639,0.0218579234972678,1,76185,3477,5,43627,20551,9723,19.4285714285714,1389,1.39874524323768
2020-06-25,"Onondaga",31,2782,1402,78787,1,2755.66666666667,107,3,690,308,148,21.1428571428571,4.59100361820718,0.0221112696148359,0.0353103938467006,0.0209478921183556,1,77458,3819,5,43298,19881,9431,21.1428571428571,1347.28571428571,1.56929275792599
2020-06-26,"Onondaga",9,2791,1517,80304,0,2774.66666666667,89,2,658,293,147,21,4.55998332348956,0.00593276203032301,0.0347554293684001,0.0138956606533398,0,78825.3333333333,4102,5,42714,19900,9678,21,1382.57142857143,1.51890886546807
2020-06-27,"Onondaga",25,2816,1721,82025,1,2796.33333333333,82,2,646,297,150,21.4285714285714,4.65304420764241,0.0145264381173736,0.0343309966473636,0.0140086206896552,1,80372,4640,6,42606,18865,9071,21.4285714285714,1295.85714285714,1.65362143093374
2020-06-28,"Onondaga",6,2822,1257,83282,0,2809.66666666667,71,1,625,291,147,21,4.55998332348956,0.00477326968973747,0.0338848730818184,0.00889877641824249,0,81870.3333333333,4495,6,42789,19275,9374,21,1339.14285714286,1.56816727117559
2020-06-29,"Onondaga",20,2842,1288,84570,1,2826.66666666667,60,2,614,297,140,20,4.34284126046625,0.015527950310559,0.0336052973867802,0.0119549929676512,1,83292.3333333333,4266,5,43042,19218,9602,20,1371.71428571429,1.45802957717142
2020-06-30,"Onondaga",21,2863,1368,85938,1,2842.33333333333,72,2,607,305,129,18.4285714285714,4.00161801857247,0.0153508771929825,0.0333147152598385,0.0120112445693841,1,84596.6666666667,3913,5,42888,19716,9736,18.4285714285714,1390.85714285714,1.32497945768283
2020-07-01,"Onondaga",34,2897,1909,87847,1,2867.33333333333,81,3,602,282,146,20.8571428571429,4.52896302877194,0.0178103719224725,0.0329777909319613,0.0164293537787514,1,86118.3333333333,4565,5,42608,20185,10462,20.8571428571429,1494.57142857143,1.39552666794112
2020-07-02,"Onondaga",12,2909,968,88815,0,2889.66666666667,87,2,580,275,127,18.1428571428571,3.93957742913724,0.012396694214876,0.032753476327197,0.0157832744405183,0,87533.3333333333,4245,5,41975,19459,10028,18.1428571428571,1432.57142857143,1.2664539289988
2020-07-03,"Onondaga",19,2928,843,89658,1,2911.33333333333,86,2,553,284,137,19.5714285714286,4.2497803763134,0.0225385527876631,0.0326574315733119,0.0174731182795699,1,88773.3333333333,3720,4,40632,19032,9354,19.5714285714286,1336.28571428571,1.46461406884755
2020-07-04,"Onondaga",21,2949,856,90514,1,2928.66666666667,86,2,557,283,133,19,4.12569919744293,0.0245327102803738,0.0325805952670305,0.0194975628046494,1,89662.3333333333,2667,3,40143,17560,8489,19,1212.71428571429,1.56673341971964
2020-07-05,"Onondaga",14,2963,651,91165,0,2946.66666666667,66,2,555,288,141,20.1428571428571,4.37386155518386,0.021505376344086,0.0325015082542642,0.0229787234042553,0,90445.6666666667,2350,3,38754,17257,7883,20.1428571428571,1126.14285714286,1.78865913992135
2020-07-06,"Onondaga",34,2997,1455,92620,1,2969.66666666667,88,2,570,295,155,22.1428571428571,4.80814568123049,0.0233676975945017,0.0323580220254805,0.0232950708980419,1,91433,2962,3,39205,17652,8050,22.1428571428571,1150,1.92546583850932
2020-07-07,"Onondaga",32,3029,1911,94531,1,2996.33333333333,101,3,596,295,166,23.7142857142857,5.14936892312426,0.0167451596023025,0.032042398789815,0.019915359721185,1,92772,4017,4,38919,18329,8593,23.7142857142857,1227.57142857143,1.93180495752357
2020-07-08,"Onondaga",21,3050,2070,96601,1,3025.33333333333,101,3,596,299,153,21.8571428571429,4.74610509179526,0.0101449275362319,0.0315731721203714,0.0160044150110375,1,94584,5436,6,39767,19216,8754,21.8571428571429,1250.57142857143,1.74777244688143
2020-07-09,"Onondaga",28,3078,1155,97756,1,3052.33333333333,115,3,604,296,169,24.1428571428571,5.24242980727711,0.0242424242424242,0.0314865583698187,0.0157710280373832,1,96296,5136,6,38850,18969,8941,24.1428571428571,1277.28571428571,1.8901688849122
2020-07-10,"Onondaga",22,3100,1161,98917,1,3076,103,2,602,309,172,24.5714285714286,5.33549069142996,0.0189491817398794,0.0313394057644288,0.016187870497036,1,97758,4386,5,38513,18613,9259,24.5714285714286,1322.71428571429,1.8576520142564
2020-07-11,"Onondaga",24,3124,1344,100261,1,3100.66666666667,95,2,605,308,175,25,5.42855157558281,0.0178571428571429,0.0311586758560158,0.0202185792349727,1,98978,3660,4,37101,18236,9747,25,1392.42857142857,1.79542423309736
2020-07-12,"Onondaga",18,3142,1288,101549,1,3122,92,2,611,320,179,25.5714285714286,5.55263275445327,0.0139751552795031,0.0309407281213995,0.0168731874505668,1,100242.333333333,3793,4,37542,18267,10384,25.5714285714286,1483.42857142857,1.72380585516179
2020-07-13,"Onondaga",37,3179,2118,103667,1,3148.33333333333,101,3,634,337,182,26,5.64569363860612,0.0174693106704438,0.0306654962524236,0.0166315789473684,1,101825.666666667,4750,5,38315,19097,11047,26,1578.14285714286,1.64750611025618
